houseID,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
V97,8960000,8500,3,2,4,yes,no,no,no,yes,2,no,furnished
T58,6650000,6420,3,2,3,yes,no,no,no,yes,0,yes,furnished
S66,4410000,4900,2,1,2,yes,no,yes,no,no,0,no,semi-furnished
G52,4270000,4500,2,1,1,yes,no,no,no,yes,2,no,furnished
Q33,3675000,5640,2,1,1,no,no,no,no,no,0,no,semi-furnished
P23,7210000,6000,3,2,4,yes,yes,no,no,yes,1,no,furnished
E95,3815000,3150,2,2,1,no,no,yes,no,no,0,no,semi-furnished
S38,3500000,3036,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
C96,3500000,9500,3,1,2,yes,no,no,no,no,3,yes,unfurnished
U62,2835000,2640,2,1,1,no,no,no,no,no,1,no,furnished
M65,2590000,3600,2,2,2,yes,no,yes,no,no,1,no,furnished
U44,2450000,7700,2,1,1,yes,no,no,no,no,0,no,unfurnished
T52,2380000,3264,2,1,1,yes,no,no,no,no,0,no,unfurnished
A70,5600000,10500,2,1,1,yes,no,no,no,no,1,no,semi-furnished
A56,4200000,4600,3,2,2,yes,no,no,no,yes,1,no,semi-furnished
X77,3430000,4000,2,1,1,yes,no,no,no,no,0,no,unfurnished
U20,2660000,2800,3,1,1,yes,no,no,no,no,0,no,unfurnished
Z23,6440000,5000,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
B18,6230000,5500,3,1,3,yes,no,no,no,no,1,yes,unfurnished
K90,4473000,3162,3,1,2,yes,no,no,no,yes,1,no,furnished
Q73,3290000,2500,2,1,1,no,no,no,no,yes,0,no,unfurnished
H34,7962500,6000,3,1,4,yes,yes,no,no,yes,2,no,unfurnished
C80,4480000,8250,3,1,1,yes,no,no,no,no,0,no,furnished
S16,3850000,5300,5,2,2,yes,no,no,no,no,0,no,semi-furnished
J62,3080000,2160,3,1,2,no,no,yes,no,no,0,no,semi-furnished
G17,3010000,5076,3,1,1,no,no,no,no,no,0,no,unfurnished
B44,2870000,3040,2,1,1,no,no,no,no,no,0,no,unfurnished
U77,9100000,6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished
W95,8190000,5960,3,3,2,yes,yes,yes,no,no,1,no,unfurnished
W16,4690000,9667,4,2,2,yes,yes,yes,no,no,1,no,semi-furnished
I50,4200000,2610,4,3,2,no,no,no,no,no,0,no,semi-furnished
K30,3360000,3720,2,1,1,no,no,no,no,yes,0,no,unfurnished
W60,3150000,4095,2,1,1,yes,no,no,no,no,2,no,semi-furnished
G21,2275000,3970,3,1,2,yes,no,yes,no,no,0,no,unfurnished
Q25,9240000,3500,4,2,2,yes,no,no,yes,no,2,no,furnished
M68,5775000,6000,3,2,4,yes,no,no,no,yes,0,no,unfurnished
D83,4375000,3900,3,1,2,yes,no,no,no,no,0,no,unfurnished
X99,4270000,7770,2,1,1,yes,no,no,no,no,1,no,furnished
F86,2660000,3480,2,1,1,yes,no,no,no,no,1,no,semi-furnished
E95,7245000,9000,4,2,4,yes,yes,no,no,yes,1,yes,furnished
H24,3640000,3180,3,1,2,no,no,yes,no,no,0,no,semi-furnished
E15,3255000,3930,2,1,1,no,no,no,no,no,0,no,unfurnished
S36,2870000,6000,2,1,1,yes,no,no,no,no,0,no,semi-furnished
Q42,2800000,3960,3,1,1,yes,no,no,no,no,0,no,furnished
T18,8855000,6420,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished
M13,7420000,7440,3,2,4,yes,no,no,no,no,1,yes,unfurnished
Y80,6615000,10500,3,2,1,yes,no,yes,no,yes,1,yes,furnished
F17,5460000,6210,4,1,4,yes,yes,no,no,yes,0,no,furnished
W57,6083000,4300,6,2,2,yes,no,no,no,no,0,no,furnished
I29,4900000,4120,2,1,1,yes,no,yes,no,no,1,no,semi-furnished
Z28,4753000,6440,2,1,1,yes,no,no,no,yes,3,no,semi-furnished
N49,4550000,8400,4,1,4,yes,no,no,no,no,3,no,unfurnished
G66,4515000,3520,2,1,2,yes,no,no,no,no,0,yes,furnished
W49,3360000,4120,2,1,2,yes,no,no,no,no,0,no,unfurnished
G81,6720000,5020,3,1,4,yes,no,no,no,yes,0,yes,unfurnished
N34,5460000,3150,3,2,1,yes,yes,yes,no,yes,0,no,furnished
B77,4480000,4040,3,1,2,yes,no,no,no,no,1,no,semi-furnished
K33,4403000,4920,3,1,2,yes,no,no,no,no,1,no,semi-furnished
K91,4305000,10360,2,1,1,yes,no,no,no,no,1,yes,semi-furnished
W18,3633000,3520,3,1,1,yes,no,no,no,no,2,yes,unfurnished
T13,3220000,3120,3,1,2,no,no,no,no,no,0,no,furnished
A15,3129000,5495,3,1,1,yes,no,yes,no,no,0,no,unfurnished
P71,8400000,7000,3,1,4,yes,no,no,no,yes,2,no,semi-furnished
Y38,5320000,7800,3,1,1,yes,no,yes,no,yes,2,yes,unfurnished
C75,4410000,3968,3,1,2,no,no,no,no,no,0,no,semi-furnished
V99,4480000,5885,2,1,1,yes,no,no,no,yes,1,no,unfurnished
N47,2835000,4350,3,1,2,no,no,no,yes,no,1,no,unfurnished
Z29,6300000,6400,3,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished
Y62,6195000,5500,3,2,4,yes,yes,no,no,yes,1,no,semi-furnished
E86,5880000,6500,3,2,3,yes,no,no,no,yes,0,no,unfurnished
J37,5530000,3300,3,3,2,yes,no,yes,no,no,0,no,semi-furnished
P41,5425000,6825,3,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished
E87,4200000,5500,3,1,2,yes,no,no,no,yes,0,no,unfurnished
X78,3920000,7260,3,2,1,yes,yes,yes,no,no,3,no,furnished
K95,3220000,4370,3,1,2,yes,no,no,no,no,0,no,unfurnished
Z21,5943000,15600,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
D44,5740000,5400,4,2,2,yes,no,no,no,yes,2,no,unfurnished
U52,5600000,6600,4,2,1,yes,no,yes,no,no,0,yes,semi-furnished
E87,5250000,5500,3,2,1,yes,no,yes,no,no,0,no,semi-furnished
O86,4900000,4095,3,1,2,no,yes,yes,no,yes,0,no,semi-furnished
Y95,3710000,4040,2,1,1,yes,no,no,no,no,0,no,semi-furnished
D14,6895000,7700,3,2,1,yes,no,no,no,no,2,no,unfurnished
Z46,3500000,3990,3,1,2,yes,no,no,no,no,0,no,semi-furnished
U53,3115000,3850,3,1,2,yes,no,no,no,no,0,no,unfurnished
I68,2870000,3630,2,1,1,yes,no,no,no,no,0,no,unfurnished
E53,1960000,3420,5,1,2,no,no,no,no,no,0,no,unfurnished
Y89,9870000,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished
I49,6930000,8880,3,2,2,yes,no,yes,no,yes,1,no,furnished
P77,6160000,4500,3,1,4,yes,no,no,no,yes,0,no,unfurnished
P92,3150000,3986,2,2,1,no,yes,yes,no,no,1,no,unfurnished
L49,3150000,6750,2,1,1,yes,no,no,no,no,0,no,semi-furnished
X81,2604000,2910,2,1,1,no,no,no,no,no,0,no,unfurnished
Z86,7700000,6480,3,2,4,yes,no,no,no,yes,2,no,unfurnished
W76,7420000,6325,3,1,4,yes,no,no,no,yes,1,no,unfurnished
N82,6293000,6600,3,2,3,yes,no,no,no,yes,0,yes,unfurnished
L59,5600000,5136,3,1,2,yes,yes,yes,no,yes,0,yes,unfurnished
K72,5495000,2817,4,2,2,no,yes,yes,no,no,1,no,furnished
J86,5250000,10269,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
Y48,5215000,7200,3,1,2,yes,yes,yes,no,no,1,yes,furnished
V79,5005000,8150,3,2,1,yes,yes,yes,no,no,0,no,semi-furnished
D68,4795000,7000,3,1,2,yes,no,yes,no,no,0,no,unfurnished
K70,3675000,3600,2,1,1,yes,no,no,no,no,0,no,furnished
Z52,5810000,5828,4,1,4,yes,yes,no,no,no,0,no,semi-furnished
V75,5110000,6100,3,1,1,yes,no,yes,no,yes,0,yes,semi-furnished
G27,3675000,3630,2,1,1,yes,no,yes,no,no,0,no,furnished
R16,3430000,1950,3,2,2,yes,no,yes,no,no,0,yes,unfurnished
P76,4550000,3520,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
U23,2660000,3630,3,3,2,no,yes,no,no,no,0,no,unfurnished
C74,1855000,2990,2,1,1,no,no,no,no,no,1,no,unfurnished
B26,9800000,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished
J16,7140000,6000,3,2,2,yes,yes,no,no,no,1,no,semi-furnished
F58,5950000,6525,3,2,4,yes,no,no,no,no,1,no,furnished
D16,5075000,5720,2,1,2,yes,no,no,no,yes,0,yes,unfurnished
W34,4200000,2325,3,1,2,no,no,no,no,no,0,no,semi-furnished
J98,3710000,6020,3,1,1,yes,no,no,no,no,0,no,semi-furnished
D31,2590000,3600,2,1,1,yes,no,no,no,no,0,no,unfurnished
J65,4620000,5680,3,1,2,yes,yes,no,no,yes,1,no,semi-furnished
U31,3920000,3816,2,1,1,yes,no,yes,no,yes,2,no,furnished
V71,2345000,3640,2,1,1,yes,no,no,no,no,0,no,unfurnished
K62,2135000,3000,2,1,1,no,no,no,no,no,0,no,unfurnished
S56,1820000,3000,2,1,1,yes,no,yes,no,no,2,no,unfurnished
S54,5600000,5000,3,1,4,yes,no,no,no,no,0,no,furnished
D51,6685000,6600,2,2,4,yes,no,yes,no,no,0,yes,furnished
K98,5250000,3800,3,1,2,yes,yes,yes,no,no,1,yes,unfurnished
K16,4690000,5400,2,1,2,yes,no,no,no,no,0,yes,semi-furnished
S17,4620000,2870,2,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
C12,3710000,3600,3,1,1,yes,no,no,no,no,1,no,unfurnished
R76,3220000,4320,3,1,1,no,no,no,no,no,1,no,unfurnished
K71,3010000,3750,3,1,2,yes,no,no,no,no,0,no,unfurnished
P53,2940000,5850,3,1,2,yes,no,yes,no,no,1,no,unfurnished
A47,7490000,6600,3,1,4,yes,no,no,no,yes,3,yes,furnished
L52,6615000,4000,3,2,2,yes,no,yes,no,yes,1,no,semi-furnished
P41,6107500,3240,4,1,3,yes,no,no,no,no,1,no,semi-furnished
W24,4007500,4500,3,1,2,no,no,yes,no,yes,0,no,semi-furnished
P52,3640000,3570,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
S33,3115000,3000,3,1,1,no,no,no,no,yes,0,no,unfurnished
W19,4165000,4046,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
M43,4025000,3630,3,2,2,yes,no,no,yes,no,2,no,semi-furnished
H30,7350000,5150,3,2,4,yes,no,no,no,yes,2,no,semi-furnished
U65,4620000,5010,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
I41,8890000,4600,3,2,2,yes,yes,no,no,yes,2,no,furnished
I69,7840000,6360,3,2,4,yes,no,no,no,yes,0,yes,furnished
O46,4235000,2787,3,1,1,yes,no,yes,no,no,0,yes,furnished
Y43,3500000,4600,4,1,2,yes,no,no,no,no,0,no,semi-furnished
D18,1750000,3620,2,1,1,yes,no,no,no,no,0,no,unfurnished
J25,4956000,2800,3,2,2,no,no,yes,no,yes,1,no,semi-furnished
E36,4543000,4100,2,2,1,yes,yes,yes,no,no,0,no,semi-furnished
X89,4165000,4840,3,1,2,yes,no,no,no,no,1,no,semi-furnished
L55,3535000,3850,3,1,1,yes,no,no,no,no,2,no,unfurnished
E94,3500000,3650,3,1,2,yes,no,no,no,no,0,no,unfurnished
N54,9681000,6000,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished
B35,7875000,6550,3,1,2,yes,no,yes,no,yes,0,yes,furnished
I61,4515000,9860,3,1,1,yes,no,no,no,no,0,no,semi-furnished
E25,4445000,3750,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
Y14,3360000,3100,3,1,2,no,no,yes,no,no,0,no,semi-furnished
S98,3080000,4960,2,1,1,yes,no,yes,no,yes,0,no,unfurnished
D83,6650000,4260,4,2,2,yes,no,no,yes,no,0,no,semi-furnished
D30,4620000,4160,3,1,1,yes,yes,yes,no,yes,0,no,unfurnished
H79,4200000,5040,3,1,2,yes,no,yes,no,yes,0,no,unfurnished
S21,4025000,3460,3,2,1,yes,no,yes,no,yes,1,no,furnished
I62,3850000,7152,3,1,2,yes,no,no,no,yes,0,no,furnished
D54,3710000,4050,2,1,1,yes,no,no,no,no,0,no,furnished
M66,3290000,6060,3,1,1,yes,yes,yes,no,no,0,no,furnished
V48,7525000,6000,3,2,4,yes,no,no,no,yes,1,no,furnished
Y70,4830000,4160,3,1,3,yes,no,no,no,no,0,no,unfurnished
C33,3360000,3185,2,1,1,yes,no,yes,no,no,2,no,furnished
D21,4319000,4032,2,1,1,yes,no,yes,no,no,0,no,furnished
Y92,4095000,3680,3,2,2,yes,no,no,no,no,0,no,semi-furnished
Z95,2450000,3240,2,1,1,no,yes,no,no,no,1,no,unfurnished
D15,8680000,7155,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished
E57,7350000,6000,4,2,4,yes,yes,no,no,yes,1,no,furnished
G68,5250000,6540,4,2,2,no,no,no,no,yes,0,no,semi-furnished
F77,4760000,6321,3,1,2,yes,no,yes,no,yes,1,no,furnished
Q33,3675000,3630,2,1,1,yes,no,no,no,yes,0,no,unfurnished
Q47,3640000,5960,3,1,2,yes,yes,yes,no,no,0,no,unfurnished
D27,3010000,3630,4,1,2,yes,no,no,no,no,3,no,semi-furnished
E28,6160000,5450,4,2,1,yes,no,yes,no,yes,0,yes,semi-furnished
M44,4340000,3500,4,1,2,yes,no,no,no,no,2,no,furnished
Z20,3920000,3290,2,1,1,yes,no,no,yes,no,1,no,furnished
T80,3703000,3120,3,1,2,no,no,yes,yes,no,0,no,semi-furnished
T37,2653000,3185,2,1,1,yes,no,no,no,yes,0,no,unfurnished
B54,8463000,6000,3,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished
G62,5040000,3540,2,1,1,no,yes,yes,no,no,0,no,semi-furnished
L49,4893000,3420,4,2,2,yes,no,yes,no,yes,2,no,semi-furnished
T52,4473000,6360,2,1,1,yes,no,yes,no,yes,1,no,furnished
H35,3990000,3960,3,1,2,yes,no,no,no,no,0,no,furnished
C19,3465000,2145,3,1,3,yes,no,no,no,no,0,yes,furnished
V81,3290000,2145,3,1,2,yes,no,yes,no,no,0,yes,furnished
S48,3150000,3069,2,1,1,yes,no,no,no,no,1,no,unfurnished
R72,13300000,7420,4,2,3,yes,no,no,no,yes,2,yes,furnished
A72,5740000,6360,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
Z84,4865000,4350,2,1,1,yes,no,yes,no,no,0,no,unfurnished
Y68,4340000,4500,3,2,3,yes,no,no,yes,no,1,no,furnished
M30,4060000,5900,4,2,2,no,no,yes,no,no,1,no,unfurnished
E41,3500000,12944,3,1,1,yes,no,no,no,no,0,no,unfurnished
U89,7070000,8880,2,1,1,yes,no,no,no,yes,1,no,semi-furnished
V24,7035000,6360,4,2,3,yes,no,no,no,yes,2,yes,furnished
Y90,5600000,5500,3,2,2,yes,no,no,no,no,1,no,semi-furnished
E84,4403000,2880,3,1,2,yes,no,no,no,no,0,yes,semi-furnished
J44,4200000,3640,3,2,2,yes,no,yes,no,no,0,no,unfurnished
W51,6650000,6000,3,2,3,yes,yes,no,no,yes,0,no,furnished
